happy,year,age,sex,marital,degree,finrela,health,wtssall
not too happy,1993,43,male,divorced,high school,average,fair,1.0571
pretty happy,1993,44,male,never married,bachelor,average,good,1.0571
very happy,1993,43,female,divorced,bachelor,average,fair,0.5285
pretty happy,1993,45,female,never married,high school,above average,NA,0.5285
NA,1993,78,female,never married,graduate,far above average,fair,0.5285
pretty happy,1993,83,male,married,high school,average,fair,1.0571
pretty happy,1993,55,female,married,high school,average,good,1.0571
pretty happy,1993,75,male,married,high school,below average,fair,1.0571
pretty happy,1993,31,male,divorced,graduate,above average,excellent,1.5856
very happy,1993,54,female,never married,graduate,average,good,0.5285
pretty happy,1993,29,female,never married,graduate,average,NA,0.5285
pretty happy,1993,23,female,never married,high school,average,excellent,1.0571
pretty happy,1993,61,female,married,high school,average,NA,1.0571
not too happy,1993,63,female,separated,lt high school,far below average,fair,0.5285
pretty happy,1993,33,female,never married,lt high school,average,good,0.5285
pretty happy,1993,36,female,never married,high school,average,NA,0.5285
pretty happy,1993,39,female,never married,lt high school,far below average,good,0.5285
very happy,1993,55,male,married,high school,above average,NA,1.0571
pretty happy,1993,55,female,married,bachelor,average,good,1.5856
pretty happy,1993,34,male,married,bachelor,average,NA,1.0571
pretty happy,1993,36,female,married,junior college,above average,excellent,1.0571
pretty happy,1993,44,female,married,bachelor,above average,good,1.5856
not too happy,1993,80,male,widowed,graduate,above average,NA,0.5285
pretty happy,1993,32,male,never married,bachelor,below average,NA,1.0571
very happy,1993,37,male,married,lt high school,below average,NA,1.0571
not too happy,1993,32,male,divorced,high school,below average,fair,1.5856
pretty happy,1993,49,female,married,bachelor,average,NA,1.0571
pretty happy,1993,45,female,divorced,bachelor,average,excellent,1.0571
pretty happy,1993,36,female,never married,bachelor,above average,excellent,0.5285
pretty happy,1993,23,female,never married,high school,average,NA,1.0571
pretty happy,1993,29,male,never married,graduate,above average,excellent,1.0571
pretty happy,1993,30,female,never married,junior college,average,good,0.5285
pretty happy,1993,40,female,never married,bachelor,average,excellent,1.0571
pretty happy,1993,26,female,never married,lt high school,average,NA,1.0571
very happy,1993,66,male,married,high school,above average,NA,1.5856
very happy,1993,53,female,married,high school,above average,NA,1.0571
very happy,1993,20,female,married,high school,below average,excellent,2.1142
not too happy,1993,63,female,divorced,high school,far below average,fair,0.5285
not too happy,1993,41,male,married,lt high school,below average,good,1.0571
very happy,1993,33,female,divorced,high school,above average,good,1.5856
very happy,1993,34,male,married,high school,average,excellent,1.5856
very happy,1993,61,female,married,bachelor,average,excellent,2.1142
very happy,1993,29,female,married,graduate,average,excellent,1.0571
pretty happy,1993,45,female,never married,high school,above average,excellent,0.5285
