added,anonymous,count,deleted,delta,geo,language,namespace,newPage,page,robot,time,unpatrolled,user
3866,1,1,0,3866,known,en,article,0,1992_Houston_Oilers_season,0,2013-02-26T00:00:00.000Z,0,71.176.193.72
0,0,1,-240,-240,no_geo,en,article,0,2007_Copa_Sudamericana,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-228,-228,no_geo,en,article,0,2009_in_association_football,1,2013-02-26T00:00:00.000Z,0,Addbot
146,0,1,0,146,no_geo,en,article,0,2012–13_NHL_transactions,0,2013-02-26T00:00:00.000Z,0,Uncleben85
47,0,2,0,47,no_geo,en,article,0,2013_Delray_Beach_International_Tennis_Championships_–_Singles,0,2013-02-26T00:00:00.000Z,0,Danielmordor
87,0,1,0,87,no_geo,ja,article,0,2013年のラジオ_(日本),0,2013-02-26T00:00:00.000Z,0,Wjp28y
152,0,2,-239,-87,no_geo,ru,article,0,339-я_стрелковая_дивизия,0,2013-02-26T00:00:00.000Z,0,Михаил Фетисов
0,0,1,-131,-131,no_geo,en,article,0,5'nizza,1,2013-02-26T00:00:00.000Z,0,Addbot
2,0,1,0,2,no_geo,no,article,0,746_Marlu,1,2013-02-26T00:00:00.000Z,0,Xqbot
10,0,1,0,10,no_geo,no,article,0,=Oslo,0,2013-02-26T00:00:00.000Z,0,Edorfbir
465,0,5,-9,456,no_geo,en,article,0,Abdulaziz_bin_Salman,0,2013-02-26T00:00:00.000Z,0,Egeymi
0,0,1,-227,-227,no_geo,en,article,0,Acanthobrama_hulensis,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-172,-172,no_geo,en,article,0,"Ada,_Countess_of_Holland",1,2013-02-26T00:00:00.000Z,0,Addbot
25,1,1,0,25,known,fr,article,0,Adrien_de_Gerlache_de_Gomery,0,2013-02-26T00:00:00.000Z,1,98.143.217.83
1379,0,1,0,1379,no_geo,ca,article,0,Affirmation_(cançó),0,2013-02-26T00:00:00.000Z,0,Kxont
0,0,1,-97,-97,no_geo,en,article,0,Aidan_Turner,0,2013-02-26T00:00:00.000Z,0,Hullaballoo Wolfowitz
0,0,1,-95,-95,no_geo,en,article,0,Albizia_lebbeck,0,2013-02-26T00:00:00.000Z,0,Mark Marathon
0,0,1,-7,-7,no_geo,en,article,0,Alexei_Ramírez,0,2013-02-26T00:00:00.000Z,0,Epbr123
0,0,1,-861,-861,no_geo,en,article,0,All_Good_Things_(Come_to_an_End),0,2013-02-26T00:00:00.000Z,0,Status
0,0,1,-195,-195,no_geo,en,article,0,Álvaro_Cunqueiro,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,2,-2,-2,no_geo,en,article,0,American_mastodon,0,2013-02-26T00:00:00.000Z,0,Peyre
12,0,1,0,12,no_geo,pl,article,0,Anastasija_Gładyszewa,1,2013-02-26T00:00:00.000Z,0,EmausBot
0,0,1,-35,-35,no_geo,it,article,0,Andreas_Stjernen,1,2013-02-26T00:00:00.000Z,0,FrescoBot
0,0,1,-308,-308,no_geo,es,wikipedia,0,Anexo:Discografía_de_Alex_Campos,0,2013-02-26T00:00:00.000Z,0,Jmvkrecords
179,1,1,0,179,known,pt,wikipedia,1,Anexo:Rodovias_de_Pernambuco,0,2013-02-26T00:00:00.000Z,1,177.98.63.70
12,0,1,0,12,no_geo,es,article,0,Anne_Hathaway,0,2013-02-26T00:00:00.000Z,0,Carolinita TA
64,0,1,0,64,no_geo,lt,article,0,Antrasis_Balkanų_karas,1,2013-02-26T00:00:00.000Z,0,Makecat-bot
4486,0,1,0,4486,no_geo,fr,article,1,Ariedo_Braida,0,2013-02-26T00:00:00.000Z,1,2A01:E35:8A2E:4730:21F:5BFF:FEDA:7810
47,0,1,0,47,no_geo,sv,article,0,Asexuell_förökning,0,2013-02-26T00:00:00.000Z,0,Tommy Kronkvist
70,0,1,0,70,no_geo,sv,article,1,Astyanax_emperador,1,2013-02-26T00:00:00.000Z,0,Lsjbot
0,0,1,-431,-431,no_geo,en,article,0,Attorney_general,0,2013-02-26T00:00:00.000Z,0,Delusion23
25,0,1,0,25,no_geo,sv,article,0,Attus_ocellosus,1,2013-02-26T00:00:00.000Z,0,MerlIwBot
3,0,1,0,3,no_geo,no,article,0,Aunsøgård,0,2013-02-26T00:00:00.000Z,0,Anne-Sophie Ofrim
0,0,1,-128,-128,no_geo,en,article,0,Automobilwerk_Eisenach,1,2013-02-26T00:00:00.000Z,0,Addbot
1759,0,1,0,1759,no_geo,sv,article,1,Axelrodia,1,2013-02-26T00:00:00.000Z,0,Lsjbot
0,0,1,-311,-311,no_geo,en,article,0,A_Christmas_Carol_(1999_film),1,2013-02-26T00:00:00.000Z,0,Addbot
6,0,1,0,6,no_geo,sv,article,0,Bad_Attitude,1,2013-02-26T00:00:00.000Z,0,EmausBot
16,0,1,0,16,no_geo,es,article,0,Ballet_Shoes_(película_de_2007),1,2013-02-26T00:00:00.000Z,0,EmausBot
28,0,1,0,28,no_geo,vi,article,0,Ballus_tabupumensis,1,2013-02-26T00:00:00.000Z,0,MerlIwBot
0,0,1,-1053,-1053,no_geo,en,article,0,Baltimore–Washington_International_Airport,0,2013-02-26T00:00:00.000Z,0,Delusion23
57,0,1,0,57,no_geo,vi,wikipedia,0,Bản_mẫu:Các_vùng_của_Namibia,1,2013-02-26T00:00:00.000Z,0,MerlIwBot
0,0,1,-13,-13,no_geo,en,article,0,Basilica_of_Our_Lady_of_Lanka,1,2013-02-26T00:00:00.000Z,0,JL-Bot
54,0,1,0,54,no_geo,en,article,0,Beatrice_Wood,0,2013-02-26T00:00:00.000Z,0,Mandarax
0,0,1,-1,-1,no_geo,sv,article,0,Benno_von_Arent,1,2013-02-26T00:00:00.000Z,0,EmausBot
723,0,1,0,723,no_geo,de,wikipedia,1,Benutzer_Diskussion:Ali1610/Liste_der_Kreisstraßen_im_Erzgebirgskreis,0,2013-02-26T00:00:00.000Z,1,Thomas021071
59,0,1,0,59,no_geo,de,wikipedia,0,Benutzer_Diskussion:Thilotello,0,2013-02-26T00:00:00.000Z,0,Thilotello
0,0,1,-166,-166,no_geo,en,article,0,Betzdorf,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-111,-111,no_geo,en,article,0,Bignona,1,2013-02-26T00:00:00.000Z,0,Addbot
